position,item_id,card_type,package_type,redeem_point,category
1,EJoKEZr5D3jJ,blue|green|white,,0,primary
2,7dkGJpJG0Nad,red|blue|green|white,,0,primary
3,KPrvyZnyeQWP,red|blue|green|white,,49,primary
4,jYjNPebmDZJY,blue|green|white,,0,primary
5,rPw03evwpO5m,blue|green|white,,0,primary
6,1W4VAyJVkzdY,blue|green|white,,0,primary
7,wPJ0rxGbpe7q,blue|green|white,,0,primary
8,vAE1lmjj0yLA,blue|green|white,,99,primary
9,apeAKQWoPkwp,blue|green|white,,0,primary
10,V6LaP4Pg57Nj,red|blue|green|white,,29,primary
11,wMp5axzw90eW,black|red|blue|green|white,,99,primary
12,8ZxrgW9BaLlQ,white,,0,primary
13,gqwNo24G2b2O,red|blue|green|white,,0,primary
14,VmGAJnqGO58b,no_card,,0,secondary
15,OrLLwGGqn4Pr,no_card,,0,secondary
16,EXOo799W7R8X,no_card,,0,secondary
17,lepdOlnlMb5e,no_card,,0,secondary
18,jr8oPM5YqVnw,no_card,,0,secondary
19,WJaPVy7XnkbR,no_card,,0,secondary
20,17DOj5poLJxR,no_card,postpaid,0,secondary
21,KaXGx4JrdJJN,no_card,,0,secondary
22,5akYKVZnBjv6,no_card,,0,secondary
23,dbNOkn6ZrJX8,no_card,,0,secondary
24,ymNKZQ5RwjDO,no_card,,0,secondary
25,LdkBrEDRXLZo,no_card,postpaid,0,secondary
26,Wrp9lQOb5PoD,no_card,,0,secondary
27,BnRQvOA4qb35,no_card,,0,secondary
28,65oWoqoajlB5,no_card,,0,secondary
29,5WGDmaKNwJmV,no_card,,0,secondary
30,nEPR0OZj8RNL,no_card,,1,secondary
31,JjLq4gDRGzZy,no_card,,0,secondary
32,xz2Qg039DPqW,no_card,,0,secondary
33,o9QZY2Veozr7,no_card,,0,secondary
34,8gqG3o759LPK,no_card,,0,secondary
35,y3AgPDwdPzGL,no_card,,0,secondary
36,dGRv1MkEX9VG,no_card,,0,secondary
37,RPZNXAkW54lP,no_card,,0,secondary
38,AqbB4Bdmz4Dq,no_card,,0,secondary
39,5gYJrerZXwZo,no_card,,0,secondary
40,qxqqXgVgX4zx,no_card,,0,secondary
41,boERbYayKZKl,no_card,,0,secondary
42,qK3Re3xMjMnr,no_card,,5,secondary
43,j4awWZkbj0W8,no_card,,0,secondary
44,ZLVx2AnbJ7jG,no_card,,0,secondary
45,mK5bgz10lO9E,no_card,,0,secondary
46,aMw97l5PAl6n,no_card,,0,secondary
47,7KRRokPjdnLK,no_card,,5,secondary
48,wDPr4EGrJrpQ,no_card,,0,secondary
49,A951PZmWVeG9,no_card,,0,secondary
50,1qa3EanYlERk,no_card,,0,secondary
51,QW3r2oyoP3lg,no_card,,0,secondary
52,4x4M27ALjvl8,no_card,,0,secondary
53,9Wd7M7R4AJ8P,no_card,,0,secondary
54,aV55D8XLQv0V,no_card,,0,secondary
55,djOXdYZXQ7gp,no_card,,0,secondary
56,rnaZm4EyPopq,no_card,,0,secondary
57,wJbDElggBWM5,no_card,,0,secondary
58,KWdXGX7VzLjW,no_card,,0,secondary
59,k9aNbaGAPbjB,no_card,,0,secondary
60,N6gxEK7EagqQ,no_card,,0,secondary
61,3WX7GQ2EG9Pa,no_card,,0,secondary
62,eOqWDJ0QYdw8,no_card,,0,secondary
63,1PZ1DxAJvdyl,no_card,,0,secondary
64,82OBN41EE36V,no_card,,0,secondary
65,X3jvJjPWbze3,no_card,,0,secondary
66,PONxXlraj9YJ,no_card,,0,secondary
67,BkyprYxANP4O,no_card,,0,secondary
68,AVlqrbqBbkMv,no_card,,0,secondary
69,2BjnEDqZ63vB,no_card,,0,secondary
70,nRXolpAlwx6K,no_card,,0,secondary
71,nQZXym4OO8DK,no_card,,0,secondary
72,kABxERnWklaP,no_card,,0,secondary
73,YdnqYVa7pmqE,no_card,,0,secondary
74,EKwBnEemVVmj,no_card,,0,secondary
75,5LbrdwmrE1oL,no_card,,99,secondary
76,2kXrN7dZOdG1,no_card,,0,secondary
77,pqBp2LVKVyno,no_card,,0,secondary
78,VaW812MX4246,no_card,,5,secondary
79,dgppzyKLLpmg,no_card,,0,secondary
80,ymEdbLKoawBA,no_card,,0,secondary
81,P7LzE6JZmnJ4,no_card,,0,secondary
82,eN4gJ7j2LRKY,no_card,,0,secondary
83,QXjB2e1kPozX,no_card,,0,secondary
84,6eXBJ2DxWvJ5,no_card,,0,secondary
85,WDj6MkO8p1aD,no_card,,0,secondary
86,xE8Y09j6W3y7,no_card,,0,secondary
87,kXzQL5o1D8d4,no_card,,0,secondary
88,o2KVdWPyl0xn,no_card,,0,secondary
89,7zPJr0JXy7Qj,no_card,,0,secondary
90,BaPn6kjz14zl,no_card,,0,secondary
91,2g2a5QzQ7GDL,no_card,,0,secondary
92,zl66m17bd5bl,no_card,,0,secondary
93,MAp9x9vXKbO8,no_card,,0,secondary
94,zNjbrq5OkwbN,no_card,,0,secondary
95,MXx3Mymv7m0q,no_card,,0,secondary
96,MxgP4ady7rn0,no_card,,0,secondary
97,y9nbxj3LbQa9,no_card,,1,secondary
98,xEBNYzNNDBWE,no_card,,0,secondary
99,zx4jopMYlOE5,no_card,,5,secondary
100,nyGW3gLEYN5y,no_card,,0,secondary
